from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75,runs_present_p50,p50_run_sd,p50_run_range
528,SB,63.0,67.0,72.0,5,0.4472135954999579,1.0
529,HG,50.0,54.0,57.0,5,0.0,0.0
529,HYW,62.0,67.0,73.0,5,1.3416407864998738,3.0
529,LMC,65.0,68.0,72.0,5,0.8944271909999159,2.0
529,LW,60.0,63.0,67.0,5,0.8944271909999159,2.0
529,MKT,65.0,69.0,72.0,5,0.8366600265340756,2.0
529,SB,54.0,58.0,61.0,5,0.5477225575051661,1.0
531,HG,77.0,81.0,85.0,5,0.0,0.0
531,HYW,85.0,89.0,92.0,5,0.5477225575051661,1.0
531,LMC,79.0,83.0,89.0,5,0.8366600265340756,2.0
531,LW,74.0,78.0,84.0,5,0.8366600265340756,2.0
531,MKT,79.0,84.0,88.0,5,0.8366600265340756,2.0
531,SB,82.0,86.0,90.0,5,0.7071067811865476,2.0
532,HG,76.0,81.0,85.0,5,1.0,2.0
532,HYW,70.0,75.0,80.0,5,0.4472135954999579,1.0
532,LMC,64.0,68.0,73.0,5,0.5477225575051661,1.0
532,LW,59.0,63.0,68.0,5,0.5477225575051661,1.0
532,MKT,61.0,65.0,70.0,5,0.5477225575051661,1.0
532,SB,87.0,93.0,99.0,5,0.7071067811865476,2.0
533,HG,76.0,79.0,83.0,5,0.5477225575051661,1.0
533,HYW,87.0,90.0,94.0,5,0.7071067811865476,2.0
533,LMC,85.0,88.0,91.0,5,0.0,0.0
533,LW,80.0,83.0,86.0,5,0.0,0.0
533,MKT,93.0,97.0,100.0,5,0.5477225575051661,1.0
533,SB,82.0,86.0,90.0,5,0.4472135954999579,1.0
541,HG,52.0,55.0,59.0,5,0.4472135954999579,1.0
541,HYW,71.0,76.0,81.0,5,0.5477225575051661,1.0
541,LMC,62.0,68.0,75.0,5,1.6733200530681511,4.0
541,LW,57.0,63.0,70.0,5,1.6733200530681511,4.0
541,MKT,62.0,70.0,76.0,5,1.140175425099138,3.0
541,SB,74.0,78.0,81.0,5,0.8366600265340756,2.0
543S,HG,35.0,41.0,46.0,5,1.4142135623730951,3.0
543S,HYW,72.0,78.0,83.0,5,1.3038404810405297,3.0
543S,LMC,62.0,67.0,73.0,5,0.8366600265340756,2.0
543S,LW,57.0,62.0,68.0,5,0.8366600265340756,2.0
543S,MKT,63.0,69.0,74.0,5,1.3038404810405297,3.0
543S,SB,76.0,81.0,87.0,5,1.224744871391589,3.0
544,HG,56.0,60.0,65.0,5,0.8944271909999159,2.0
544,HYW,70.0,78.0,83.0,5,0.8944271909999159,2.0
544,LMC,59.0,67.0,75.0,5,0.4472135954999579,1.0
544,LW,54.0,62.0,70.0,5,0.4472135954999579,1.0
544,MKT,61.0,68.0,76.0,5,0.8366600265340756,2.0
