"from_id","to_id","travel_time_p25","travel_time_p50","travel_time_p75","run"
"837","WKS",49,52,55,4
"838","WKS",44,47,49,4
"839","WKS",51,54,57,4
"912","WKS",82,87,91,4
"920","WKS",97,100,106,4
"951","WKS",102,105,108,4
"971","WKS",82,87,94,4
"972","WKS",92,97,101,4
"973","WKS",89,111,,4
"975","WKS",52,54,56,4
"111","WKS",41,44,45,5
"112","WKS",27,29,31,5
"113","WKS",28,29,30,5
"114","WKS",27,28,29,5
"115","WKS",28,29,30,5
"116","WKS",31,33,35,5
"121","WKS",20,21,23,5
"122","WKS",27,28,29,5
"123","WKS",21,22,23,5
"124","WKS",18,19,20,5
"131","WKS",25,27,28,5
"132","WKS",29,30,31,5
"133","WKS",30,31,32,5
"134","WKS",27,28,29,5
"135","WKS",31,32,33,5
"140","WKS",37,40,43,5
"141","WKS",42,44,46,5
"142","WKS",28,30,31,5
"143","WKS",31,32,33,5
"144","WKS",39,40,42,5
"145","WKS",42,44,45,5
"146","WKS",26,27,28,5
"147","WKS",32,33,33,5
"148","WKS",41,42,44,5
"149","WKS",41,43,45,5
"151","WKS",34,35,36,5
"152","WKS",43,46,48,5
"153","WKS",28,31,36,5
"154","WKS",38,42,45,5
"155","WKS",34,35,36,5
"156","WKS",50,53,57,5
"157","WKS",33,35,39,5
"161","WKS",40,41,42,5
"162","WKS",57,59,62,5
"163","WKS",51,52,54,5
"164","WKS",57,59,62,5
"165","WKS",47,50,52,5
"166","WKS",49,52,54,5
"167","WKS",69,,,5
"171","WKS",44,46,48,5
"172","WKS",40,42,45,5
"173","WKS",61,63,65,5
"174","WKS",42,44,46,5
"175","WKS",39,40,42,5
"181","WKS",60,64,68,5
"182","WKS",56,60,64,5
"184","WKS",58,62,66,5
"190","WKS",51,54,57,5
