"from_id","to_id","travel_time_p25","travel_time_p50","travel_time_p75","run"
"627","SB",77,78,81,22
"627","MKT",25,27,29,22
"627","HYW",35,37,38,22
"728","LW",42,43,45,22
"728","LMC",47,48,50,22
"728","MKT",53,55,57,22
"728","HYW",54,60,63,22
"835","LW",94,99,104,22
"835","LMC",99,104,112,22
"838","LW",75,76,78,22
"838","LMC",80,81,83,22
"838","HG",107,112,118,22
"838","MKT",94,96,97,22
"838","HYW",103,104,106,22
"971","SB",106,112,117,22
"284","LW",57,58,59,23
"284","LMC",62,63,64,23
"284","HG",90,94,97,23
"284","SB",96,98,100,23
"284","MKT",68,69,70,23
"284","HYW",77,78,79,23
"421","LW",83,87,92,23
"421","LMC",88,92,97,23
"421","HG",91,96,103,23
"421","SB",62,65,70,23
"421","MKT",85,88,94,23
"421","HYW",94,98,103,23
"622","LW",47,52,64,23
"622","LMC",52,57,69,23
"622","HG",70,76,85,23
"622","SB",101,108,118,23
"622","MKT",49,55,67,23
"622","HYW",58,64,76,23
"627","LW",19,20,21,23
"627","LMC",24,25,26,23
"627","HG",39,43,48,23
"627","SB",75,78,80,23
"627","MKT",25,27,29,23
"627","HYW",35,37,39,23
"728","LW",42,43,44,23
"728","LMC",47,48,49,23
"728","MKT",53,55,57,23
"728","HYW",55,60,64,23
"835","LW",95,100,105,23
"835","LMC",100,106,112,23
"838","LW",75,76,78,23
"838","LMC",80,81,83,23
"838","HG",105,109,116,23
"838","MKT",94,96,97,23
"838","HYW",103,104,106,23
"971","SB",106,113,119,23
"284","LW",57,58,59,24
"284","LMC",62,63,64,24
"284","HG",90,94,96,24
"284","SB",96,98,100,24
"284","MKT",67,68,70,24
"284","HYW",77,78,79,24
"421","LW",83,86,92,24
"421","LMC",88,91,97,24
"421","HG",89,97,103,24
"421","SB",61,66,70,24
"421","MKT",85,88,94,24
"421","HYW",94,97,103,24
"622","LW",46,53,65,24
"622","LMC",51,58,70,24
"622","HG",66,74,87,24
"622","SB",102,109,,24
"622","MKT",49,57,68,24
"622","HYW",59,66,77,24
"627","LW",19,20,21,24
"627","LMC",24,25,26,24
"627","HG",37,43,48,24
"627","SB",76,79,81,24
"627","MKT",25,27,29,24
"627","HYW",35,37,39,24
"728","LW",42,43,45,24
"728","LMC",47,48,50,24
"728","MKT",53,55,57,24
"728","HYW",55,59,63,24
"835","LW",95,100,106,24
"835","LMC",101,107,112,24
"838","LW",75,76,77,24
"838","LMC",80,81,82,24
"838","HG",105,109,114,24
"838","MKT",95,96,97,24
"838","HYW",103,104,106,24
"971","SB",107,112,117,24
"284","LW",57,58,59,25
"284","LMC",62,63,64,25
"284","HG",89,93,97,25
"284","SB",96,98,99,25
"284","MKT",67,68,70,25
"284","HYW",76,78,79,25
"421","LW",84,88,92,25
"421","LMC",89,93,97,25
"421","HG",89,96,103,25
"421","SB",62,67,72,25
"421","MKT",85,90,94,25
"421","HYW",94,99,103,25
"622","LW",47,53,63,25
"622","LMC",52,58,68,25
"622","HG",67,74,88,25
"622","SB",103,108,,25
"622","MKT",49,56,66,25
"622","HYW",60,65,76,25
"627","LW",19,20,21,25
"627","LMC",24,25,26,25
"627","HG",37,43,50,25
"627","SB",76,78,80,25
"627","MKT",25,27,28,25
"627","HYW",35,37,38,25
"728","LW",42,43,45,25
"728","LMC",47,48,50,25
"728","MKT",53,55,57,25
"728","HYW",55,59,63,25
"835","LW",94,100,104,25
"835","LMC",100,105,111,25
"838","LW",75,76,77,25
"838","LMC",80,81,82,25
"838","HG",104,110,115,25
"838","MKT",95,96,97,25
"838","HYW",103,104,105,25
"971","SB",106,113,118,25
"284","LW",57,58,59,26
"284","LMC",62,63,64,26
"284","HG",91,94,97,26
"284","SB",96,98,100,26
"284","MKT",67,69,70,26
"284","HYW",76,78,79,26
"421","LW",83,87,92,26
"421","LMC",88,92,97,26
"421","HG",91,96,101,26
"421","SB",63,66,72,26
"421","MKT",85,89,94,26
"421","HYW",94,98,103,26
"622","LW",48,55,68,26
"622","LMC",53,60,73,26
"622","HG",69,76,90,26
"622","SB",103,111,,26
"622","MKT",50,58,70,26
"622","HYW",61,68,79,26
"627","LW",19,20,21,26
"627","LMC",24,25,26,26
"627","HG",38,43,48,26
"627","SB",76,78,81,26
"627","MKT",25,27,29,26
"627","HYW",34,37,39,26
"728","LW",42,43,44,26
"728","LMC",47,48,49,26
"728","MKT",53,54,57,26
"728","HYW",55,59,62,26
"835","LW",95,101,106,26
"835","LMC",101,106,112,26
"838","LW",75,76,78,26
"838","LMC",80,81,83,26
"838","HG",105,110,115,26
"838","MKT",94,96,97,26
"838","HYW",103,104,105,26
"971","SB",105,112,118,26
"284","LW",57,58,59,27
"284","LMC",62,63,64,27
"284","HG",91,94,98,27
"284","SB",96,98,100,27
"284","MKT",67,68,70,27
"284","HYW",76,78,79,27
"421","LW",83,87,92,27
"421","LMC",88,92,98,27
